mixer,p,eta,r
XY full,1,0.006,0.11546861435504492
XY full,1,0.007,0.09933675676173132
XY full,1,0.008,0.09194402709267552
XY full,1,0.009,0.0822229135315245
XY full,1,0.01,0.0729847795624494
XY full,2,0.0,0.7911595546272334
XY full,2,0.001,0.4590302284877949
XY full,2,0.002,0.2802694292943681
XY full,2,0.003,0.1932702457960105
XY full,2,0.004,0.14196619063693303
XY full,2,0.005,0.11535128563601281
XY full,2,0.006,0.09571191937544257
XY full,2,0.007,0.08685134303608281
XY full,2,0.008,0.07701340140066598
XY full,2,0.009,0.07152958061401504
XY full,2,0.01,0.06691574410773944
XY full,3,0.0,0.8755602317083485
XY full,3,0.001,0.43801153300589785
XY full,3,0.002,0.25585318116953315
XY full,3,0.003,0.17018534072777836
XY full,3,0.004,0.11931629265844286
XY full,3,0.005,0.09937545970410362
XY full,3,0.006,0.09148983657328688
XY full,3,0.007,0.07540349571514945
XY full,3,0.008,0.06879375455660211
XY full,3,0.009,0.0673617240521326
XY full,3,0.01,0.06947223419605805
XY full,4,0.0,0.9000799454865154
XY full,4,0.001,0.4010923783286225
XY full,4,0.002,0.20850000552796685
XY full,4,0.003,0.13916398684049558
XY full,4,0.004,0.10849134097102346
XY full,4,0.005,0.09073341027318754
XY full,4,0.006,0.07549986028255448
XY full,4,0.007,0.0684910796616248
XY full,4,0.008,0.0671230084868438
XY full,4,0.009,0.0669493590333288
XY full,4,0.01,0.061605368098883534
XY full,5,0.0,0.910583595298146
XY full,5,0.001,0.35047099848145175
XY full,5,0.002,0.17873872735030488
XY full,5,0.003,0.12231663786411799
XY full,5,0.004,0.09119304265727565
XY full,5,0.005,0.07801747471010861
XY full,5,0.006,0.07000390042264126
XY full,5,0.007,0.06678091824597653
XY full,5,0.008,0.06613717738518701
XY full,5,0.009,0.06423873295133538
XY full,5,0.01,0.054787405711516315
XY full,6,0.0,0.9225424622339671
XY full,6,0.001,0.32433456220551754
XY full,6,0.002,0.16556063668581328
XY full,6,0.003,0.1053565083863657
XY full,6,0.004,0.08466839101233214
XY full,6,0.005,0.07419890384323918
XY full,6,0.006,0.06591470025369107
XY full,6,0.007,0.06385160802872003
XY full,6,0.008,0.0626462874461007
XY full,6,0.009,0.06095029361002214
XY full,6,0.01,0.0570218977645017
XY full,7,0.0,0.9305570790789911
XY full,7,0.001,0.2975630266614599
XY full,7,0.002,0.14342436554830304
XY full,7,0.003,0.10380372661036663
XY full,7,0.004,0.08035696969799978
XY full,7,0.005,0.07445025211037053
XY full,7,0.006,0.06477115648761714
XY full,7,0.007,0.06267417459067745
XY full,7,0.008,0.060090257418006374
XY full,7,0.009,0.059125166554227185
XY full,7,0.01,0.058773114711328796
QAMPA,1,0.0,0.7657757587371609
QAMPA,1,0.001,0.47405724079482237
QAMPA,1,0.002,0.30229274980716764
QAMPA,1,0.003,0.21320848322688254
QAMPA,1,0.004,0.1572644825708226
QAMPA,1,0.005,0.1212073868276125
QAMPA,1,0.006,0.10289840591167454
QAMPA,1,0.007,0.09085076393906152
QAMPA,1,0.008,0.08282986829732916
QAMPA,1,0.009,0.07849406988545062
QAMPA,1,0.01,0.0673113009939982
QAMPA,2,0.0,0.7952171855665573
QAMPA,2,0.001,0.40702550181546915
QAMPA,2,0.002,0.24178803809527796
QAMPA,2,0.003,0.16017061389704448
QAMPA,2,0.004,0.12135489666119353
QAMPA,2,0.005,0.09489672284992415
QAMPA,2,0.006,0.08456243785163285
QAMPA,2,0.007,0.0743761547946384
QAMPA,2,0.008,0.06936715492929837
QAMPA,2,0.009,0.06495688175420276
QAMPA,2,0.01,0.06373849298896739
QAMPA,3,0.0,0.8839230707060075
QAMPA,3,0.001,0.3707708720491595
QAMPA,3,0.002,0.1918422915639489
QAMPA,3,0.003,0.12989891217094404
QAMPA,3,0.004,0.1011369675333458
QAMPA,3,0.005,0.08488699026470002
QAMPA,3,0.006,0.07225999305646319
QAMPA,3,0.007,0.06757034180634858
QAMPA,3,0.008,0.06339696282835576
QAMPA,3,0.009,0.0597326027858414
QAMPA,3,0.01,0.05847549232366819
QAMPA,4,0.0,0.8994149037650558
QAMPA,4,0.001,0.32144838487425764
QAMPA,4,0.002,0.15943830715953117
QAMPA,4,0.003,0.10810810935951796
QAMPA,4,0.004,0.08578827543408983
QAMPA,4,0.005,0.07306019094244286
QAMPA,4,0.006,0.06484550146901266
QAMPA,4,0.007,0.06228346529298797
QAMPA,4,0.008,0.060263701397800955
QAMPA,4,0.009,0.05960954024638409
QAMPA,4,0.01,0.05489265916208718
QAMPA,5,0.0,0.9095116282555444
QAMPA,5,0.001,0.2871093696825932
QAMPA,5,0.002,0.14168709091587725
QAMPA,5,0.003,0.09596507236208651
QAMPA,5,0.004,0.07616578836541538
QAMPA,5,0.005,0.06738329500435179
QAMPA,5,0.006,0.061594243512734216
QAMPA,5,0.007,0.06119782379986961
QAMPA,5,0.008,0.062277130539864986
QAMPA,5,0.009,0.0621347557175218
QAMPA,5,0.01,0.05796232860329612
QAMPA,6,0.0,0.9204971489153285
QAMPA,6,0.001,0.24700435321795217
QAMPA,6,0.002,0.12161242398948387
QAMPA,6,0.003,0.08497513468835854
QAMPA,6,0.004,0.07340015860673844
QAMPA,6,0.005,0.06573420975824718
QAMPA,6,0.006,0.06032198646380825
QAMPA,6,0.007,0.05653519017125832
QAMPA,6,0.008,0.05692072139781205
