backend,mixer,metric,p,mean,std
statevector,QAMPA,1_minus_r,3,0.08386223169668668,0.026745611320366354
statevector,QAMPA,1_minus_r,4,0.06907047859361748,0.028048917203060436
statevector,QAMPA,1_minus_r,5,0.06192882891835714,0.024779367893702317
statevector,QAMPA,1_minus_r,6,0.05794701121660868,0.024477740991132958
statevector,QAMPA,1_minus_r,7,0.06846129797066432,0.0652700159133845
statevector,QAMPA,p_opt,1,0.135025,0.07409080155457896
statevector,QAMPA,p_opt,2,0.22736499999999998,0.10984932987961282
statevector,QAMPA,p_opt,3,0.31778000000000006,0.17197671819173663
statevector,QAMPA,p_opt,4,0.37187499999999996,0.19889314687791532
statevector,QAMPA,p_opt,5,0.39386499999999997,0.19933629442477352
statevector,QAMPA,p_opt,6,0.40988500000000005,0.21570939774381642
statevector,QAMPA,p_opt,7,0.396645,0.2155716365271647
statevector,QAMPA,cost,1,-0.11352774438709887,0.09897138209249438
statevector,QAMPA,cost,2,-0.15096778290347349,0.10781469573730874
statevector,QAMPA,cost,3,-0.16407818208722041,0.11352172271996436
statevector,QAMPA,cost,4,-0.17194899715824447,0.11738817851635358
statevector,QAMPA,cost,5,-0.17535581665809674,0.11914393774537047
statevector,QAMPA,cost,6,-0.17684668645097867,0.11876397977868956
statevector,QAMPA,cost,7,-0.1720541459271638,0.12296979732681672
qasm,standard,1_minus_r,1,0.7883084985166765,0.041090372976287176
qasm,standard,1_minus_r,2,0.6818456009895744,0.13583314107920494
qasm,standard,1_minus_r,3,0.6170864185797293,0.14625384499648666
qasm,standard,1_minus_r,4,0.5348206951996543,0.14945937973909892
qasm,standard,1_minus_r,5,0.49570300613086865,0.154919653677276
qasm,standard,1_minus_r,6,0.47340722691741527,0.16301477477979848
qasm,standard,1_minus_r,7,0.44978104916758976,0.15854463384046874
qasm,standard,p_opt,1,0.007145,0.003958468769612815
qasm,standard,p_opt,2,0.012665000000000001,0.010003613097276402
qasm,standard,p_opt,3,0.01592,0.011127874909433514
qasm,standard,p_opt,4,0.0212,0.014835396860212402
qasm,standard,p_opt,5,0.02586,0.014769678398665284
qasm,standard,p_opt,6,0.031114999999999997,0.018865610909800934
qasm,standard,p_opt,7,0.035035,0.020073496830398035
qasm,standard,cost,1,0.877823245834781,0.7197084364587913
qasm,standard,cost,2,0.38990371847936556,0.5906182667455372
qasm,standard,cost,3,0.3130058543405996,0.5656854351348874
qasm,standard,cost,4,0.14351175460175827,0.20748850178843078
qasm,standard,cost,5,0.10400213751566456,0.18119145201949372
qasm,standard,cost,6,0.08625612859146847,0.1797493957659235
qasm,standard,cost,7,0.06679110760168484,0.1674254385047051
qasm,XY ring,1_minus_r,1,0.22202447810320866,0.05292389288263673
qasm,XY ring,1_minus_r,2,0.14175318557331917,0.041929455805961996
qasm,XY ring,1_minus_r,3,0.12222330032123348,0.03821246580979851
qasm,XY ring,1_minus_r,4,0.1068856445144176,0.03351379329263211
qasm,XY ring,1_minus_r,5,0.09740531413310007,0.03272350657537321
